  0.17240133E+00  0.15293572E+00 -0.26265844E+00 -0.46171869E+01
  0.17296473E+00  0.15408794E+00 -0.26469253E+00 -0.46002078E+01
  0.17352814E+00  0.15523880E+00 -0.26672492E+00 -0.45831971E+01
  0.17409154E+00  0.15638824E+00 -0.26875550E+00 -0.45661553E+01
  0.17465494E+00  0.15753621E+00 -0.27078415E+00 -0.45490827E+01
  0.17521835E+00  0.15868266E+00 -0.27281076E+00 -0.45319799E+01
  0.17578175E+00  0.15982752E+00 -0.27483524E+00 -0.45148473E+01
  0.17634515E+00  0.16097076E+00 -0.27685746E+00 -0.44976852E+01
  0.17690856E+00  0.16211230E+00 -0.27887733E+00 -0.44804941E+01
  0.17747196E+00  0.16325211E+00 -0.28089473E+00 -0.44632746E+01
  0.17803536E+00  0.16439012E+00 -0.28290956E+00 -0.44460269E+01
  0.17859877E+00  0.16552630E+00 -0.28492172E+00 -0.44287517E+01
  0.17916217E+00  0.16666058E+00 -0.28693111E+00 -0.44114492E+01
  0.17972557E+00  0.16779293E+00 -0.28893761E+00 -0.43941201E+01
  0.18028897E+00  0.16892328E+00 -0.29094114E+00 -0.43767648E+01
  0.18085238E+00  0.17005160E+00 -0.29294159E+00 -0.43593837E+01
  0.18141578E+00  0.17117783E+00 -0.29493886E+00 -0.43419774E+01
  0.18197918E+00  0.17230194E+00 -0.29693284E+00 -0.43245463E+01
  0.18254259E+00  0.17342386E+00 -0.29892346E+00 -0.43070910E+01
  0.18310599E+00  0.17454356E+00 -0.30091059E+00 -0.42896118E+01
  0.18366939E+00  0.17566100E+00 -0.30289416E+00 -0.42721093E+01
  0.18423280E+00  0.17677611E+00 -0.30487406E+00 -0.42545841E+01
  0.18479620E+00  0.17788887E+00 -0.30685019E+00 -0.42370365E+01
  0.18535960E+00  0.17899923E+00 -0.30882247E+00 -0.42194673E+01
  0.18592300E+00  0.18010715E+00 -0.31079080E+00 -0.42018767E+01
  0.18648641E+00  0.18121257E+00 -0.31275508E+00 -0.41842654E+01
  0.18704981E+00  0.18231546E+00 -0.31471523E+00 -0.41666339E+01
  0.18761321E+00  0.18341578E+00 -0.31667114E+00 -0.41489827E+01
  0.18817662E+00  0.18451348E+00 -0.31862273E+00 -0.41313124E+01
  0.18874002E+00  0.18560853E+00 -0.32056991E+00 -0.41136235E+01
  0.18930342E+00  0.18670088E+00 -0.32251258E+00 -0.40959165E+01
  0.18986683E+00  0.18779049E+00 -0.32445066E+00 -0.40781919E+01
  0.19043023E+00  0.18887731E+00 -0.32638405E+00 -0.40604504E+01
  0.19099363E+00  0.18996132E+00 -0.32831267E+00 -0.40426924E+01
  0.19155704E+00  0.19104246E+00 -0.33023642E+00 -0.40249185E+01
  0.19212044E+00  0.19212070E+00 -0.33215521E+00 -0.40071294E+01
  0.19268384E+00  0.19319600E+00 -0.33406896E+00 -0.39893254E+01
  0.19324724E+00  0.19426832E+00 -0.33597757E+00 -0.39715073E+01
  0.19381065E+00  0.19533761E+00 -0.33788097E+00 -0.39536755E+01
  0.19437405E+00  0.19640384E+00 -0.33977905E+00 -0.39358306E+01
  0.19493745E+00  0.19746697E+00 -0.34167173E+00 -0.39179733E+01
  0.19550086E+00  0.19852696E+00 -0.34355892E+00 -0.39001040E+01
  0.19606426E+00  0.19958376E+00 -0.34544053E+00 -0.38822234E+01
  0.19662766E+00  0.20063734E+00 -0.34731647E+00 -0.38643320E+01
  0.19719107E+00  0.20168766E+00 -0.34918666E+00 -0.38464305E+01
  0.19775447E+00  0.20273468E+00 -0.35105101E+00 -0.38285193E+01
  0.19831787E+00  0.20377835E+00 -0.35290942E+00 -0.38105992E+01
  0.19888127E+00  0.20481864E+00 -0.35476181E+00 -0.37926706E+01
  0.19944468E+00  0.20585551E+00 -0.35660808E+00 -0.37747342E+01
  0.20000808E+00  0.20688891E+00 -0.35844816E+00 -0.37567906E+01
  0.20057148E+00  0.20791881E+00 -0.36028193E+00 -0.37388404E+01
  0.20113489E+00  0.20894516E+00 -0.36210933E+00 -0.37208842E+01
