  0.13465333E+00  0.42870102E-01 -0.69498641E-01 -0.56376337E+01
  0.13521673E+00  0.43558659E-01 -0.70822190E-01 -0.56244959E+01
  0.13578013E+00  0.44251433E-01 -0.72153045E-01 -0.56113191E+01
  0.13634354E+00  0.44948368E-01 -0.73491081E-01 -0.55981028E+01
  0.13690694E+00  0.45649409E-01 -0.74836172E-01 -0.55848466E+01
  0.13747034E+00  0.46354500E-01 -0.76188191E-01 -0.55715501E+01
  0.13803375E+00  0.47063584E-01 -0.77547011E-01 -0.55582128E+01
  0.13859715E+00  0.47776604E-01 -0.78912504E-01 -0.55448343E+01
  0.13916055E+00  0.48493503E-01 -0.80284540E-01 -0.55314141E+01
  0.13972396E+00  0.49214225E-01 -0.81662988E-01 -0.55179519E+01
  0.14028736E+00  0.49938709E-01 -0.83047719E-01 -0.55044471E+01
  0.14085076E+00  0.50666899E-01 -0.84438601E-01 -0.54908995E+01
  0.14141416E+00  0.51398735E-01 -0.85835501E-01 -0.54773085E+01
  0.14197757E+00  0.52134159E-01 -0.87238287E-01 -0.54636737E+01
  0.14254097E+00  0.52873111E-01 -0.88646825E-01 -0.54499948E+01
  0.14310437E+00  0.53615531E-01 -0.90060981E-01 -0.54362713E+01
  0.14366778E+00  0.54361360E-01 -0.91480621E-01 -0.54225029E+01
  0.14423118E+00  0.55110537E-01 -0.92905610E-01 -0.54086890E+01
  0.14479458E+00  0.55863002E-01 -0.94335811E-01 -0.53948294E+01
  0.14535799E+00  0.56618694E-01 -0.95771089E-01 -0.53809236E+01
  0.14592139E+00  0.57377552E-01 -0.97211309E-01 -0.53669713E+01
  0.14648479E+00  0.58139515E-01 -0.98656332E-01 -0.53529720E+01
  0.14704819E+00  0.58904522E-01 -0.10010602E+00 -0.53389255E+01
  0.14761160E+00  0.59672512E-01 -0.10156024E+00 -0.53248313E+01
  0.14817500E+00  0.60443422E-01 -0.10301885E+00 -0.53106890E+01
  0.14873840E+00  0.61217191E-01 -0.10448172E+00 -0.52964985E+01
  0.14930181E+00  0.61993757E-01 -0.10594870E+00 -0.52822592E+01
  0.14986521E+00  0.62773058E-01 -0.10741966E+00 -0.52679709E+01
  0.15042861E+00  0.63555031E-01 -0.10889446E+00 -0.52536332E+01
  0.15099202E+00  0.64339615E-01 -0.11037296E+00 -0.52392458E+01
  0.15155542E+00  0.65126746E-01 -0.11185503E+00 -0.52248084E+01
  0.15211882E+00  0.65916362E-01 -0.11334051E+00 -0.52103207E+01
  0.15268223E+00  0.66708402E-01 -0.11482929E+00 -0.51957824E+01
  0.15324563E+00  0.67502801E-01 -0.11632121E+00 -0.51811933E+01
  0.15380903E+00  0.68299498E-01 -0.11781614E+00 -0.51665530E+01
  0.15437243E+00  0.69098429E-01 -0.11931394E+00 -0.51518613E+01
  0.15493584E+00  0.69899533E-01 -0.12081448E+00 -0.51371179E+01
  0.15549924E+00  0.70702745E-01 -0.12231760E+00 -0.51223226E+01
  0.15606264E+00  0.71508004E-01 -0.12382319E+00 -0.51074752E+01
  0.15662605E+00  0.72315246E-01 -0.12533109E+00 -0.50925753E+01
  0.15718945E+00  0.73124409E-01 -0.12684118E+00 -0.50776229E+01
  0.15775285E+00  0.73935430E-01 -0.12835331E+00 -0.50626178E+01
  0.15831626E+00  0.74748247E-01 -0.12986734E+00 -0.50475596E+01
  0.15887966E+00  0.75562796E-01 -0.13138315E+00 -0.50324483E+01
  0.15944306E+00  0.76379014E-01 -0.13290059E+00 -0.50172837E+01
  0.16000646E+00  0.77196840E-01 -0.13441953E+00 -0.50020656E+01
  0.16056987E+00  0.78016210E-01 -0.13593983E+00 -0.49867939E+01
  0.16113327E+00  0.78837063E-01 -0.13746136E+00 -0.49714684E+01
  0.16169667E+00  0.79659335E-01 -0.13898399E+00 -0.49560891E+01
  0.16226008E+00  0.80482965E-01 -0.14050757E+00 -0.49406558E+01
  0.16282348E+00  0.81307889E-01 -0.14203198E+00 -0.49251685E+01
  0.16338688E+00  0.82134047E-01 -0.14355707E+00 -0.49096270E+01
  0.16395029E+00  0.82961375E-01 -0.14508273E+00 -0.48940314E+01
  0.16451369E+00  0.83789811E-01 -0.14660881E+00 -0.48783815E+01
  0.16507709E+00  0.84619295E-01 -0.14813519E+00 -0.48626773E+01
  0.16564050E+00  0.85449763E-01 -0.14966173E+00 -0.48469188E+01
  0.16620390E+00  0.86281155E-01 -0.15118831E+00 -0.48311060E+01
  0.16676730E+00  0.87113408E-01 -0.15271478E+00 -0.48152389E+01
  0.16733070E+00  0.87946461E-01 -0.15424103E+00 -0.47993176E+01
  0.16789411E+00  0.88780253E-01 -0.15576693E+00 -0.47833419E+01
  0.16845751E+00  0.89614723E-01 -0.15729234E+00 -0.47673121E+01
  0.16902091E+00  0.90449809E-01 -0.15881714E+00 -0.47512281E+01
  0.16958432E+00  0.91285451E-01 -0.16034120E+00 -0.47350900E+01
  0.17014772E+00  0.92121587E-01 -0.16186440E+00 -0.47188980E+01
  0.17071112E+00  0.92958157E-01 -0.16338661E+00 -0.47026522E+01
  0.17127453E+00  0.93795100E-01 -0.16490771E+00 -0.46863526E+01
  0.17183793E+00  0.94632356E-01 -0.16642756E+00 -0.46699994E+01
  0.17240133E+00  0.95469864E-01 -0.16794606E+00 -0.46535927E+01
  0.17296473E+00  0.96307565E-01 -0.16946307E+00 -0.46371328E+01
  0.17352814E+00  0.97145398E-01 -0.17097848E+00 -0.46206198E+01
  0.17409154E+00  0.97983303E-01 -0.17249217E+00 -0.46040539E+01
  0.17465494E+00  0.98821221E-01 -0.17400400E+00 -0.45874354E+01
  0.17521835E+00  0.99659092E-01 -0.17551388E+00 -0.45707644E+01
  0.17578175E+00  0.10049686E+00 -0.17702166E+00 -0.45540413E+01
  0.17634515E+00  0.10133445E+00 -0.17852725E+00 -0.45372662E+01
  0.17690856E+00  0.10217183E+00 -0.18003052E+00 -0.45204395E+01
  0.17747196E+00  0.10300891E+00 -0.18153135E+00 -0.45035615E+01
  0.17803536E+00  0.10384566E+00 -0.18302963E+00 -0.44866324E+01
  0.17859877E+00  0.10468200E+00 -0.18452525E+00 -0.44696526E+01
  0.17916217E+00  0.10551788E+00 -0.18601809E+00 -0.44526225E+01
  0.17972557E+00  0.10635324E+00 -0.18750803E+00 -0.44355424E+01
  0.18028897E+00  0.10718802E+00 -0.18899498E+00 -0.44184126E+01
  0.18085238E+00  0.10802217E+00 -0.19047881E+00 -0.44012337E+01
  0.18141578E+00  0.10885562E+00 -0.19195941E+00 -0.43840059E+01
  0.18197918E+00  0.10968832E+00 -0.19343669E+00 -0.43667297E+01
  0.18254259E+00  0.11052021E+00 -0.19491051E+00 -0.43494056E+01
  0.18310599E+00  0.11135123E+00 -0.19638079E+00 -0.43320340E+01
  0.18366939E+00  0.11218132E+00 -0.19784741E+00 -0.43146153E+01
  0.18423280E+00  0.11301042E+00 -0.19931026E+00 -0.42971501E+01
  0.18479620E+00  0.11383849E+00 -0.20076925E+00 -0.42796389E+01
  0.18535960E+00  0.11466545E+00 -0.20222426E+00 -0.42620822E+01
  0.18592300E+00  0.11549126E+00 -0.20367519E+00 -0.42444804E+01
  0.18648641E+00  0.11631585E+00 -0.20512195E+00 -0.42268343E+01
  0.18704981E+00  0.11713917E+00 -0.20656442E+00 -0.42091443E+01
  0.18761321E+00  0.11796115E+00 -0.20800250E+00 -0.41914109E+01
  0.18817662E+00  0.11878176E+00 -0.20943610E+00 -0.41736349E+01
  0.18874002E+00  0.11960092E+00 -0.21086512E+00 -0.41558169E+01
  0.18930342E+00  0.12041857E+00 -0.21228946E+00 -0.41379573E+01
  0.18986683E+00  0.12123467E+00 -0.21370901E+00 -0.41200570E+01
  0.19043023E+00  0.12204916E+00 -0.21512368E+00 -0.41021165E+01
  0.19099363E+00  0.12286197E+00 -0.21653338E+00 -0.40841365E+01
  0.19155704E+00  0.12367305E+00 -0.21793801E+00 -0.40661176E+01
  0.19212044E+00  0.12448235E+00 -0.21933748E+00 -0.40480607E+01
  0.19268384E+00  0.12528981E+00 -0.22073168E+00 -0.40299664E+01
  0.19324724E+00  0.12609536E+00 -0.22212053E+00 -0.40118354E+01
  0.19381065E+00  0.12689896E+00 -0.22350394E+00 -0.39936685E+01
  0.19437405E+00  0.12770055E+00 -0.22488181E+00 -0.39754664E+01
  0.19493745E+00  0.12850007E+00 -0.22625405E+00 -0.39572299E+01
  0.19550086E+00  0.12929746E+00 -0.22762056E+00 -0.39389598E+01
  0.19606426E+00  0.13009266E+00 -0.22898127E+00 -0.39206568E+01
  0.19662766E+00  0.13088563E+00 -0.23033609E+00 -0.39023218E+01
  0.19719107E+00  0.13167630E+00 -0.23168491E+00 -0.38839556E+01
  0.19775447E+00  0.13246462E+00 -0.23302766E+00 -0.38655591E+01
  0.19831787E+00  0.13325052E+00 -0.23436425E+00 -0.38471329E+01
  0.19888127E+00  0.13403396E+00 -0.23569459E+00 -0.38286782E+01
  0.19944468E+00  0.13481487E+00 -0.23701859E+00 -0.38101955E+01
  0.20000808E+00  0.13559320E+00 -0.23833618E+00 -0.37916860E+01
  0.20057148E+00  0.13636889E+00 -0.23964726E+00 -0.37731504E+01
  0.20113489E+00  0.13714189E+00 -0.24095176E+00 -0.37545897E+01
  0.20169829E+00  0.13791213E+00 -0.24224958E+00 -0.37360048E+01
  0.20226169E+00  0.13867957E+00 -0.24354065E+00 -0.37173965E+01
